FinalComple Comple Symm FIFOSlowdown FIFOUnfairness FairSlowdown FairUnfairness DRFSlowdown DRFUnfairness PerfSlowdown PerfUnfairness 
0.029 0.058 0.714 0.009 0.219 0.239 0.131 0.088 0.000 0.000 0.146
0.092 0.181 0.714 0.000 0.005 0.299 0.257 0.093 0.000 0.093 0.049
0.029 0.058 0.714 0.000 0.095 0.300 0.071 0.225 0.000 0.150 0.253
0.048 0.048 1.000 0.000 0.664 0.101 0.089 0.079 0.000 0.045 0.527
0.226 0.226 1.000 0.000 0.295 0.142 0.315 0.018 0.000 0.071 0.375
0.287 0.287 1.000 0.080 0.867 0.273 0.132 0.068 0.000 0.000 0.272
0.001 0.174 0.091 0.020 0.427 0.066 0.004 0.066 0.000 0.000 0.607
0.001 0.094 0.091 0.025 1.234 0.107 0.023 0.115 0.000 0.000 1.175
0.000 0.053 0.091 0.008 0.132 0.102 0.022 0.102 0.000 0.000 0.060
0.000 0.018 0.091 0.000 0.978 0.068 0.043 0.068 0.000 0.023 0.612
0.030 0.059 0.714 0.000 0.178 0.202 0.046 0.194 0.000 0.016 0.343
0.001 0.034 0.143 0.029 0.268 0.007 0.020 0.007 0.000 0.000 0.254
0.000 0.000 0.000 0.000 0.838 0.012 0.007 0.018 0.000 0.000 0.838
0.002 0.095 0.143 0.000 1.044 0.067 0.027 0.060 0.000 0.000 1.035
0.002 0.223 0.091 0.095 0.364 0.000 0.046 0.014 0.000 0.041 0.322
0.000 0.010 0.043 0.000 0.420 0.021 0.030 0.021 0.000 0.000 0.420
0.003 0.156 0.143 0.000 0.094 0.127 0.050 0.143 0.000 0.040 0.273
0.003 0.168 0.143 0.021 0.403 0.000 0.019 0.007 0.000 0.027 0.519
0.001 0.026 0.143 0.109 0.200 0.164 0.007 0.200 0.000 0.000 0.237
0.001 0.040 0.143 0.036 0.861 0.088 0.047 0.095 0.000 0.000 0.858
0.043 0.060 0.846 0.007 0.022 0.102 0.073 0.075 0.000 0.000 0.087
0.000 0.025 0.091 0.029 0.308 0.095 0.010 0.102 0.000 0.000 0.290
0.007 0.107 0.263 0.044 0.253 0.000 0.036 0.019 0.000 0.025 0.238
0.006 0.139 0.200 0.007 0.399 0.044 0.034 0.059 0.000 0.000 0.420
0.001 0.119 0.091 0.016 0.054 0.070 0.066 0.141 0.000 0.000 0.053
0.000 0.010 0.043 0.000 0.642 0.068 0.006 0.101 0.000 0.000 0.642
0.066 0.262 0.500 0.370 0.660 0.163 0.062 0.141 0.000 0.000 0.233
0.019 0.171 0.333 0.132 0.241 0.047 0.058 0.031 0.000 0.000 0.041
0.012 0.180 0.263 0.115 0.240 0.068 0.067 0.014 0.000 0.000 0.342
0.002 0.048 0.200 0.090 0.107 0.068 0.052 0.068 0.000 0.000 0.240
0.015 0.091 0.412 0.126 0.412 0.102 0.065 0.102 0.000 0.000 1.585
